episode,acc_reward,length,cost,res_wasted
1,769.3313793540001,1568,602632.2874234694,0.0
2,279.29947704076767,422,595629.0466350712,331.83047933714084
3,86.16638678312302,131,585011.4558778629,1806.1495594286737
4,112.30097633600235,169,580693.9301775147,0.0
5,80.53492659330368,122,581662.7127868856,0.0
6,262.5219492316246,415,597436.5437108433,0.0
7,945.1409349441528,1575,595001.0451301588,7.124771902901785
8,106.23153448104858,160,580695.6860000003,0.0
9,86.13666570186615,132,592854.2663636364,2992.7977711070666
10,341.4013365507126,517,599138.9791102522,730.2315333825708
11,103.63485246896744,156,579269.9964102563,275.2889592097356
12,97.84729498624802,148,583584.0183783784,536.246862463049
13,101.8517102599144,154,584705.801818182,14.525887625558036
14,146.2710746526718,220,584100.2630909089,0.0
15,92.43768751621246,140,584502.4928571427,2.5590297154017856
16,150.19923144578934,229,600670.2974672491,23.23538354598799
17,82.6558985710144,131,620938.5190839696,10225.100477844704
18,150.9479719400406,227,584391.4555066081,0.0
19,267.53063970804214,409,600208.1591198049,686.758962468005
20,260.52032643556595,401,613230.1447381546,945.2723184713997
21,250.94863706827164,377,588399.6015915121,10.036439121560013
22,79.9129028916359,124,604708.7525806453,3717.466281029486
23,868.5004681944847,1391,599976.0988066134,164.93434793566902
24,432.6138772368431,692,603663.2522543352,0.0
25,688.9617691040039,1446,620231.0488520059,43.67869118338304
26,273.51604837179184,417,606017.1031175063,367.1482320003372
27,94.43946343660355,142,576426.3870422536,0.21638424295774647
28,443.56174075603485,693,604413.399249639,60.76022537033279
29,275.1340661048889,420,607787.8776190476,265.8010750906808
30,89.03032046556473,135,585165.7537777778,15.46376953125
31,871.9270656108856,1869,627332.84070626,302.7888038598515
32,472.52206033468246,727,587515.618651994,16.648181437790146
33,276.1758939027786,416,592253.3257692306,50.889131399301384
34,86.14924079179764,130,578523.2904615384,0.0
35,87.97554385662079,135,595024.7179259257,2878.7307942708335
36,93.67717844247818,143,590037.9661538462,3057.5219683880573
37,267.61704790592194,409,604446.6070415642,3457.1992933651054
38,495.72829097509384,791,608940.5384576475,467.2584534077216
39,945.6898654103279,1667,602949.0530533894,21.46849846339326
40,81.9496054649353,124,580610.6364516132,0.0
41,139.11748272180557,210,587626.4361904764,138.08194754464284
42,78.87442767620087,119,575587.2470588238,460.0431472393645
43,89.36404651403427,135,580885.4986666667,0.0
44,87.1637254357338,133,592064.242105263,0.0
45,147.68882220983505,222,583337.0246846846,187.7488353832348
46,329.2428472042084,502,595341.2631872514,616.1603386259649
47,87.31903773546219,133,589235.895338346,678.6163522820724
48,98.52895677089691,150,589218.3330666665,2098.0822265625
49,156.00459200143814,237,596512.801181434,404.1048043166535
50,95.5661917924881,144,579174.6080555555,0.0
51,87.77978658676147,133,583259.0415037592,505.410165428219
52,89.47743564844131,135,579290.9511111112,51.773860677083334
53,426.0634217262268,762,605025.311233596,71.37846074141855
54,301.45853477716446,457,600099.5597374187,372.5154446992102
55,272.05344808101654,411,595616.6175182484,1.2333102261062956
56,84.17156326770782,127,577768.957480315,11.577219565083661
57,85.9307536482811,130,581532.8695384618,0.0
58,148.83373761177063,224,585186.939107143,84.00496183122907
59,247.87888431549072,371,583107.9023180594,518.8590443243556
60,946.3264778852463,1635,608358.9689541298,915.3295958912701
61,466.28368681669235,720,601520.466888889,2.7993148803710937
62,248.9685063958168,373,584973.6245576406,3.981698616580094
63,460.9981527328491,699,589467.1955937056,35.78947743428112
64,456.8585315942764,695,598794.8940431653,960.7604014444694
65,96.92241758108139,146,579081.2534246581,6.663433754280822
