Episode,Accumulative Reward,Length,Avg Cost,Avg Renewables Utilization
0,136.2333908379078,313,303481.125623003,51.69190423629956
1,14.338391721248627,31,288963.75677419355,27.341213067113195
2,15.834831446409225,36,304911.3394444446,30.367084948855336
3,27.58909636735916,64,312747.23062499997,30.15400055618901
4,170.34211325645447,409,316987.4260635699,52.60915768112619
5,54.087270110845566,125,309009.61808000004,49.53791078867802
6,66.45744299888611,153,298755.2750326797,56.96589334311044
7,9.479212671518326,23,315116.2765217391,30.894986532373135
8,5.128927767276764,13,315926.44769230776,24.401614123036918
9,71.58991307020187,151,278943.81231788103,55.38237665432618
