Episode,Accumulative Reward,Length,Avg Cost,Avg Renewables Utilization
0,44.08388361334801,126,324346.3595238095,51.65308294352198
1,0.404220849275589,2,304296.01,33.333333333333336
2,19.35358816385269,49,304638.54408163275,27.441754998997702
3,35.68491458892822,95,316376.4235789473,35.396642006871495
4,52.80227769911289,139,304482.914676259,55.86939175680382
5,58.91332346200943,156,290966.57833333325,57.2440857309266
6,128.92118148505688,359,305849.9667409468,48.58700266488569
7,5.0288762748241425,15,324477.112,27.996374454454614
8,1.0320501625537872,4,332100.6,21.74388713575601
9,55.450438529253006,125,268261.1828800001,50.63709578674742
10,16.032621413469315,40,300674.6485,28.166806566452625
11,64.05959901213646,135,265884.6933333333,52.03987944778471
12,0.0,1,292872.60000000003,33.333333333333336
13,12.491169571876526,32,305235.3749999999,24.460321423719762
14,182.75320768356323,517,323347.29268858815,58.02519000431805
15,136.16662031412125,382,320705.5953403141,49.41676521960725
16,154.3632112145424,419,312308.48100238666,54.96754066813305
17,44.7231131196022,120,318004.7720000001,47.71190662287936
18,122.26769682765007,318,301694.7799371071,53.11079879842074
19,4.206602483987808,12,318252.2216666667,28.169928922917876
20,50.57555866241455,125,297518.32863999996,49.002205117275395
21,1.8154899179935455,5,292133.944,29.856493701650145
22,165.1122153699398,440,296182.58349999983,58.063544745601035
23,64.71262529492378,165,294545.6199999998,57.35393098480746
24,194.90447384119034,457,272910.2884901531,55.39184738515456
25,12.589771091938019,38,334718.69368421054,25.801667641754904
26,6.033420413732529,16,303161.34,30.445274882239957
27,0.4294494390487671,2,302821.23,33.333333333333336
28,5.325507581233978,15,317430.72533333336,29.768932184558306
29,49.844485610723495,143,326336.2692307693,55.425032969710465
30,173.53455197811127,426,293654.58417840395,55.260648808242685
31,0.3622819483280182,2,346543.16,26.75613496640464
32,160.0829962193966,415,302738.5891084338,54.11741882277606
33,92.33450570702553,216,284455.6647222222,60.798137059163295
34,198.32093508541584,520,302246.7920384615,58.304052719697694
35,284.48260402679443,799,307794.91779724654,57.312748280878786
36,258.07530346512794,685,299431.5973722632,53.412705635929164
37,111.72253346443176,256,284471.9110937501,57.04173611937925
38,132.4411063194275,379,317400.8522955146,49.91483124841354
39,1.4482522010803223,5,324821.87600000005,27.013464783177234
40,3.3302614986896515,10,319201.748,27.50139667414324
41,88.71136838197708,217,299080.060921659,63.824043475373344
42,244.2599724382162,733,330408.0308867665,56.75246626381059
43,0.0,1,291195.54000000004,33.333333333333336
44,0.42402714490890503,2,310045.54,33.333333333333336
45,186.05385783314705,450,290283.0892000002,56.34126992943146
46,205.20392352342606,562,305054.3584697512,54.87447762830429
47,283.41284178197384,805,320659.3541118013,57.444508426102736
48,91.69621507823467,232,306243.859913793,59.88052661430311
49,8.389817297458649,24,322005.32583333337,28.34684989909526
50,0.0,1,343461.48,33.333333333333336
51,97.0800516307354,245,267178.41436734697,58.37337394395873
52,16.108698070049286,37,282246.9583783784,26.281772510793147
53,54.871485501527786,133,284399.74676691735,52.74812428891434
54,32.379879862070084,81,303138.5281481479,28.823767291624797
55,64.16056898236275,209,304250.9193301436,65.79100796738196
56,2.20463427901268,7,326069.5285714286,27.301701908142423
57,53.847584158182144,144,311780.0823611111,56.276115254059135
58,164.2046639919281,384,282547.90171874996,52.00649377305584
59,0.7965817749500275,3,312457.37333333335,33.333333333333336
60,197.4968100488186,517,307858.1295551258,58.30903295865453
61,177.23123240470886,378,261635.71936507936,48.20271310235286
62,0.5285592973232269,3,346688.54000000004,33.333333333333336
63,0.41340234875679016,2,314835.68,33.059487252865196
64,192.89778462052345,517,314366.570599613,58.19926265224718
65,1.8253677785396576,6,326376.7866666667,26.84536991192921
66,291.98433351516724,805,316146.7337888199,57.319174660832914
67,38.067329943180084,88,287043.1404545455,31.845602832816088
68,69.35112977027893,147,265790.9062585035,57.374472534756
69,47.097105234861374,98,261781.08795918387,36.56907601639945
70,0.4421771466732025,2,286369.19,29.600544879999397
71,0.7692390084266663,3,305821.7733333333,26.021748842988178
72,58.78942197561264,132,280876.20590909093,50.961768675108225
73,54.81408029794693,113,260132.1495575221,44.73328254577993
74,0.7248557507991791,3,338679.7133333333,22.79436158287855
75,45.040858656167984,133,320524.9909774436,52.387827366941245
