Episode,Accumulative Reward,Length
0,41.66628673672676,137
1,4.05667382478714,11
2,0.5451875627040863,3
3,40.75458726286888,94
4,136.0010638833046,369
5,62.94242161512375,158
6,55.446130603551865,143
7,43.22343748807907,113
8,18.283829301595688,47
9,53.33531591296196,131
10,0.3997890055179596,2
11,171.93375799059868,405
12,58.86734586954117,140
13,2.494601458311081,7
14,16.028356552124023,40
15,161.36137315630913,424
16,85.28937804698944,208
17,143.2160688638687,391
18,128.56267403066158,432
19,11.359442800283432,31
20,130.87735876441002,373
21,5.43786033987999,15
22,43.34020259976387,124
23,7.697882533073425,17
24,7.1767032742500305,20
25,52.68793013691902,126
26,112.81024795770645,252
27,75.38338455557823,170
28,9.732820004224777,38
29,86.7636026442051,226
30,1.7074856758117676,5
31,176.6129216849804,427
32,2.146881341934204,6
33,54.00709402561188,135
34,120.85177040100098,435
35,28.939222246408463,69
36,110.23352274298668,251
37,58.7618553340435,148
38,157.82247000932693,407
39,43.213233679533005,115
40,157.88404241204262,324
41,190.76887872815132,435
42,15.127618223428726,50
43,56.74041745066643,149
44,0.7957740426063538,3
45,1.9476830959320068,6
46,165.83589377999306,440
47,60.13653075695038,140
48,166.17903605103493,432
49,35.83439779281616,81
50,206.44540652632713,502
51,161.59072579443455,427
52,6.252895832061768,17
53,30.750483483076096,76
54,25.765370458364487,57
55,50.86299240589142,114
56,62.32521125674248,153
57,18.270539045333862,44
58,199.26713660359383,514
59,170.83731189370155,437
60,10.846889108419418,27
61,187.90516903996468,443
62,192.42973470687866,519
63,0.50958251953125,3
64,0.8227446973323822,3
65,200.14350625872612,518
66,5.958721190690994,16
67,50.29044580459595,125
68,173.40849913656712,513
69,21.70237109065056,52
70,7.972477376461029,18
71,6.258182495832443,15
72,52.127504497766495,120
73,174.69752180576324,421
74,5.2448563277721405,13
75,43.75351467728615,127
76,24.536312520503998,58
77,172.0328969657421,433
78,58.202583491802216,125
79,58.22163590788841,132
80,49.4488804936409,129
81,196.5881288945675,516
82,177.7225877046585,415
83,32.47198951244354,71
84,115.40953080356121,317
85,62.45664393901825,145
86,9.329562962055206,22
87,18.849869281053543,41
88,23.094034641981125,55
89,89.22656175494194,208
90,8.663876622915268,20
91,181.61841705441475,503
92,28.390716701745987,64
93,202.67528742551804,514
94,8.126006484031677,18
95,271.7774288058281,715
96,217.31965094804764,522
97,248.02579064667225,586
98,183.31364089250565,414
99,344.82835388183594,801
100,187.1849069595337,429
101,209.72192975878716,493
102,169.56582030653954,434
103,17.119504004716873,41
104,223.69163402915,524
105,112.8996456861496,234
106,59.593498319387436,134
107,70.05935475230217,170
108,69.18610179424286,154
109,369.5665339976549,953
110,329.14097434282303,738
111,71.19883206486702,149
112,339.49530985951424,801
113,203.9957584142685,506
114,453.48131737113,1043
115,187.89061677455902,405
116,221.17995443940163,505
117,321.92530481517315,815
118,350.6310813874006,801
119,3.0698665976524353,8
120,533.9968588799238,1379
121,216.40090763568878,519
122,279.03789561986923,742
123,211.45176494121552,516
124,172.1730891764164,374
125,173.76248383522034,379
126,579.6478999704123,1521
127,783.3866233080626,2016
128,230.8005601912737,511
129,736.0508628040552,2016
130,174.48238372802734,411
131,220.88983619213104,516
132,64.40862581133842,147
133,318.5307227373123,1088
