Episode,Accumulative Reward,Length,Avg Cost,Avg Renewables Utilization
0,43.2880400121212,126,324346.17984126986,51.653124509923515
1,0.3981072008609772,2,304292.38,33.333333333333336
2,19.088843047618866,49,304454.9118367347,27.48095871469447
3,35.09477686882019,95,316420.2515789474,35.37508288746732
4,52.03026373684406,139,304406.7069064748,55.862804153414025
5,57.523038655519485,156,292899.4296153846,57.20991476957353
6,126.10600949823856,359,307704.57298050146,48.59922366593005
7,4.938063889741898,15,324536.892,28.036271934193557
8,1.0168028771877289,4,331889.895,21.848215841752157
9,54.87391087412834,125,268051.25503999996,50.633237551554245
10,15.798010230064392,40,300745.05199999997,28.1049808276465
11,63.34123131632805,135,265972.9677037037,51.98082612476971
12,0.0,1,292872.60000000003,33.333333333333336
13,12.307742536067963,32,305355.28187500004,24.505466746106997
14,181.47182692587376,517,321497.12158607336,58.00233654316883
15,133.49987867474556,382,322098.8159685867,49.46083121578606
16,150.5375775396824,419,310766.4010023865,54.99294353406599
17,43.97364529967308,120,317999.4518333333,47.710758144065586
18,121.26683405041695,318,300334.6434591195,53.082307929396904
19,4.134472370147705,12,318489.9583333333,28.20850604086077
20,48.027858793735504,125,299489.6504,49.126645796412355
21,1.7982179522514343,5,291812.74,29.97373483908577
22,159.28833147883415,440,297042.26300000015,58.135393996391656
23,62.60135459899902,165,298299.77236363647,57.57612067136343
24,192.98899042606354,457,271595.64691466105,55.41192403487861
25,12.363334476947784,38,334599.89368421043,25.914940873985632
26,6.676563233137131,18,304973.6488888889,29.542489148089956
27,5.70549663901329,15,299703.792,29.96585081938815
28,1.903362661600113,7,344479.37999999995,19.038094741504345
29,44.81549310684204,136,336706.7202941175,54.471867920645614
30,170.13569140434265,426,294767.99779342726,55.3558716830301
31,0.35940471291542053,2,345956.80000000005,26.962558121241027
32,156.74859042465687,415,303446.61648192775,54.23626319561855
33,91.0083420574665,216,283721.9959259261,60.94425414106919
34,247.4570972919464,665,303383.0121503762,52.98210908559274
35,198.50379303097725,527,285839.05840607214,58.07786368645024
36,263.87546557188034,702,292843.75173789175,54.27969318440608
37,105.13142547011375,253,279201.3905928854,56.95545152999028
38,168.1197651475668,515,327126.1013203882,58.30567134823493
39,76.89980548620224,211,317793.0567772515,65.04882477711094
40,2.389903873205185,8,328796.6925,26.383435521606135
41,113.26071193814278,283,294649.8764664312,54.44130230532803
