Episode,Accumulative Reward,Length,Avg Cost,Avg Renewables Wasted
1,2.724054127931595,8,313446.48750000005,4895.281597137451
2,9.048032373189926,20,275304.59,907.4287353515625
3,0.7965220808982849,3,318420.60000000003,2551.0999145507812
4,64.96377167105675,134,268696.1558208956,620.1498990414748
5,62.7072331905365,149,297516.2306040267,1065.995319238445
6,191.94192552566528,516,298859.8825581396,550.1401442594306
7,98.94720152020454,230,294736.9300869562,664.5027999214504
8,2.352652907371521,8,340601.63250000007,1868.7350006103516
9,168.24683198332787,418,310260.3799999999,406.140749479595
10,42.42115834355354,90,274804.35488888883,802.9598693847656
11,9.379816830158234,22,291103.40545454546,1777.6061179421165
12,5.99838662147522,16,315703.01125,1721.803539276123
13,56.24794405698776,130,295680.1376923078,971.895624600924
14,6.433255553245544,18,325318.11888888886,1368.8036651611328
15,2.1545380651950836,7,337027.9371428572,3606.863551548549
16,52.99084562063217,138,313241.1771014492,374.1946329863175
17,47.35223934054375,144,329252.14194444456,276.70757150650024
18,0.40532562136650085,2,318242.18,216.88055419921875
19,64.10722497105598,135,273822.4136296296,459.2791463216146
20,96.819525629282,217,276530.42645161296,1093.550042218327
21,0.5619398951530457,3,348477.80666666664,0.0
22,2.754512518644333,8,318044.13749999995,4505.409049987793
23,52.38706535100937,144,322269.40069444454,499.98872089385986
24,168.36682257056236,375,280715.03632,1077.6665939941406
25,142.96144157648087,381,313008.5764829394,479.16098046490526
26,28.154132813215256,77,294575.9057142859,320.94846888950894
27,61.05506357550621,138,281024.9544927536,414.17338296641475
28,76.92140698432922,156,263487.5007692308,2004.4989588810847
29,0.9300604164600372,3,282824.4266666667,1704.2281494140625
30,1.1523042917251587,4,313686.23,4069.23046875
31,51.9077268242836,140,296601.5362857143,1332.637372807094
32,70.15561118721962,160,278742.71799999994,1430.4920033454896
33,0.8778373599052429,3,318657.70666666667,796.9039306640625
34,55.196682155132294,141,304095.90539007087,432.11965796288024
35,7.371634870767593,20,321595.9830000001,1204.928695678711
36,6.993942826986313,19,320601.16421052633,850.5190092387952
37,57.47713199257851,127,281858.24314960616,1049.6054603396437
38,63.14334726333618,145,286028.62703448284,922.947025167531
39,52.338153660297394,130,308416.4087692306,287.5140303391677
40,58.11372336745262,142,301880.34521126765,555.0872865059007
41,181.0385786294937,416,287144.38197115384,658.8256634748899
42,1.3613754212856293,4,300481.81999999995,698.1454467773438
43,57.70480617880821,124,269677.2487096774,842.5371060525217
44,0.0,1,285052.08,0.0
45,4.514292627573013,12,306884.0399999999,4666.63737487793
46,4.55093115568161,12,308257.5833333334,2515.6649322509766
47,8.364370703697205,23,323519.96347826085,2834.6931231954823
48,13.286846905946732,35,318042.00114285713,1561.2779349190848
49,3.6386033296585083,9,293196.51111111115,1574.9517211914062
50,58.24746856093407,142,290246.18492957763,669.0657237415583
51,68.10852923989296,149,253090.2791946309,1797.8064560858195
