episode,acc_reward,length,cost,res_wasted
1,67.8668681383133,90,404128.56733333337,0.0
2,54.38446885347366,73,412321.7391780824,0.0
3,56.5909019112587,75,396452.32560000004,0.0
4,58.45565867424011,77,389339.09740259725,0.0
5,59.37441831827164,80,421019.76149999985,0.0
6,63.00926274061203,86,440698.4990697673,0.0
7,723.1534445285797,985,450558.6982538071,398.9944302476602
8,899.3477753400803,1270,456424.81132283475,207.74385659525714
9,55.030441880226135,74,415291.9113513514,0.0
10,533.8902590870857,715,430924.39594405616,198.03508403217876
11,72.27905482053757,95,393919.1023157894,0.0
12,84.03365337848663,108,367117.86055555556,0.0
13,54.25673580169678,74,433901.1016216217,0.0
14,705.4907909631729,1001,465906.7367632365,326.9441131378387
15,60.435870945453644,81,413974.4237037036,430.02491590711804
16,73.1640413403511,95,377279.5675789474,0.0
17,108.50993692874908,138,358052.98202898545,531.50549051036
18,65.19622957706451,87,411317.05103448284,0.0
19,100.8843982219696,129,364237.6373643412,383.1667083030523
20,466.0555052161217,722,444319.848310249,222.43376721833883
21,56.287566900253296,77,439527.7012987013,0.0
22,169.85705196857452,217,372865.6562211985,319.961182765697
23,59.99244749546051,80,407318.50375,0.0
24,107.31787890195847,138,373143.43347826065,714.7681592858356
25,71.64343678951263,94,391201.899574468,0.0
26,73.82703638076782,96,379633.96395833325,0.0
27,60.4772087931633,80,396442.57725,0.0
28,73.10063934326172,95,378481.51599999995,0.0
29,56.971877217292786,77,423600.31220779195,0.0
30,70.94632285833359,93,389616.3916129033,0.0
31,74.90023678541183,99,402799.61030303047,0.0
32,55.50447940826416,75,422176.824,0.0
33,62.21549767255783,82,392473.1307317075,0.0
34,55.37982964515686,75,425221.1722666667,0.0
35,87.12220394611359,114,393317.5414035086,0.0
36,30.621211349964142,43,441360.073488372,0.0
37,138.34462362527847,173,338380.97260115616,857.5820220770863
38,60.60541009902954,82,427475.72634146316,0.0
39,987.6545206308365,1570,476673.4598980887,384.70419330961386
40,53.82309675216675,72,407161.77666666656,0.0
41,75.54186099767685,99,391303.95292929304,0.0
42,53.39995187520981,72,417614.48611111124,0.0
43,99.61551082134247,128,371262.52015625016,98.10660552978516
44,83.89821058511734,110,395032.7859999998,0.0
45,1008.4796195030212,1661,485914.33577363123,352.3809840910267
46,98.1640214920044,126,369487.1677777779,0.0
47,30.592604160308838,43,442634.5730232557,0.0
48,53.53272294998169,72,414340.51277777774,0.0
49,57.31252259016037,77,415797.4672727272,0.0
50,862.3956443667412,1300,475644.53150769195,318.5545563213642
51,61.439662873744965,83,425889.24048192764,0.0
52,47.09511470794678,65,443522.81538461527,0.0
53,60.42982703447342,81,414601.3279012346,0.0
54,54.30944341421127,73,414148.485479452,0.0
55,116.43221062421799,149,368992.797181208,155.28817933357803
56,127.83324873447418,161,347880.4475776396,323.4790706279115
57,59.25605654716492,80,423646.5365000001,0.0
58,710.0576452612877,998,466660.12569138326,464.6814882205818
59,37.54546493291855,53,461525.3328301887,0.0
60,53.46098041534424,72,416152.6294444445,0.0
61,54.40803098678589,75,448261.9119999999,0.0
62,60.79621624946594,81,406592.85827160487,0.0
63,68.73983281850815,90,386856.1806666667,0.0
64,105.23000115156174,136,380835.0566176471,4.417214786305147
65,1056.020449757576,1594,488075.6183437896,427.98555779546837
66,71.11830067634583,94,401206.1606382978,0.0
67,101.28861963748932,131,380782.8198473283,85.38247144859255
68,139.63133627176285,176,350578.76465909096,365.7663490988991
69,498.0071286559105,711,460670.42331926833,518.4051791806764
70,63.42542779445648,86,432139.5674418605,0.0
71,69.22749483585358,93,422494.214623656,0.0
72,53.554942429065704,72,413781.495,0.0
73,60.18815463781357,79,385406.28227848123,0.0
74,96.76632297039032,124,366769.4114516131,0.0
75,70.30468726158142,92,387010.7586956521,0.0
76,103.7057334780693,134,379837.36328358203,249.20017527110542
77,80.09146213531494,105,393536.25161904725,0.0
78,62.963154733181,84,409784.0216666668,0.0
79,56.54498636722565,75,397578.01013333333,0.0
80,125.94157463312149,161,368874.2754037266,306.4256622124903
81,68.58138078451157,92,420297.53086956515,0.0
82,58.76422709226608,80,434597.65999999986,0.0
83,55.5136456489563,75,422062.29279999994,6.477041015625
84,112.85491651296616,146,383578.18835616414,146.57408915480522
85,250.23063904047012,323,392008.44619195047,194.72474769615906
86,93.89936828613281,122,385428.68278688524,0.0
87,56.10297763347626,75,408068.1536,9.556875
88,55.80879497528076,75,415010.90293333324,0.0
89,483.50608319044113,658,460237.3237993922,271.04865002849544
