Episode,Accumulative Reward,Length,Avg Cost,Avg Renewables Wasted
1,28.564183115959167,34,277952.47823529417,3043.984832651475
2,0.7535620927810669,2,493145.06000000006,1008.0576782226562
3,4.590116858482361,7,471110.5085714286,2958.3678131103516
4,24.02500408887863,31,405442.35354838707,3944.616491502331
5,4.598356008529663,7,473684.2514285715,2225.2633013044083
6,26.822094559669495,35,427535.97599999997,4011.206282697405
7,12.025062263011932,16,403245.6425,2194.4613647460938
8,24.396880090236664,31,378990.5070967741,4464.909924907069
9,3.9093992710113525,6,450111.4066666667,3796.909309387207
10,2.251048505306244,4,493231.5,4092.8315048217773
11,5.394245743751526,8,466169.6149999999,5191.106060028076
12,38.28704345226288,49,413027.83346938784,2795.0278510268854
13,56.58451980352402,71,390342.1754929579,2761.2121588478626
14,25.900139451026917,34,439730.27999999997,2677.68650301765
15,23.108895003795624,31,466168.2632258065,4544.487350463867
16,37.35339170694351,49,452342.94857142866,2803.131389072963
17,0.0,1,450255.88,0.0
18,10.15227222442627,14,439721.917142857,8537.372235979352
19,6.946454346179962,10,465998.43200000003,4687.358450317382
20,42.65682238340378,55,425564.50036363635,4877.502162031694
21,24.624008655548096,33,466816.84121212113,4197.7592218572445
22,13.828310430049896,19,475036.68,1749.1550927413136
23,4.484657049179077,7,513566.24000000005,2465.7574375697545
24,5.940243244171143,9,516846.65777777776,3018.82568359375
25,15.598742723464966,21,448832.11238095234,3927.818612234933
26,23.70608812570572,32,479556.20499999996,2811.0354108810425
27,51.03320735692978,68,412246.9873529413,3357.4728617107166
28,35.39174842834473,46,436277.90869565203,1895.8666350323222
29,18.07427704334259,24,436228.2950000001,3465.156572341919
30,3.0116297006607056,5,496014.304,7943.195654296875
31,25.551512241363525,34,461994.20941176475,1867.8521905786852
32,21.287666380405426,29,487709.6317241378,3442.7977863180226
33,16.359753370285034,22,448882.0909090909,2861.479803605513
34,8.636134326457977,12,439672.1700000001,3437.1508026123047
35,16.658181726932526,22,422730.03272727266,3002.582009748979
36,22.99361115694046,30,421397.1533333334,2854.1518524169924
37,5.5047555565834045,8,444403.39,2167.609079360962
38,11.387915551662445,16,491686.5525,2262.2210626602173
39,18.489235639572144,25,467000.49760000006,3578.8532025146483
40,14.705751776695251,20,462650.1839999999,2442.3315559387206
41,14.606481313705444,20,473681.072,1804.4237480163574
42,16.293929636478424,22,452042.15454545454,3991.292658025568
43,7.9499494433403015,11,423619.24727272725,3670.1000144264913
44,33.47318106889725,46,450449.09652173927,2194.335917597232
45,26.425776839256287,35,455806.60457142856,2087.538429042271
46,2.962733805179596,5,505100.38399999996,4094.798620605469
47,16.35155761241913,22,450301.63999999984,4592.766688260165
48,16.77509617805481,23,484330.2886956522,2454.013954826023
49,20.616942703723907,28,476538.4242857145,5419.857415335519
50,20.8866605758667,27,403458.5792592592,2936.4477335611978
51,29.013288378715515,38,437728.8021052631,3756.034474423057
52,4.586415350437164,7,475235.9257142857,8735.821066720146
53,13.551582872867584,19,503209.0926315789,3139.6711530183493
54,8.223919093608856,12,512192.39666666667,3653.1100158691406
55,25.908075153827667,35,484536.5657142857,2734.221646990095
56,18.106472432613373,24,429885.7816666667,5614.018043518066
57,18.10556173324585,24,433586.15000000014,4317.281850814819
58,21.250341951847076,29,489096.7751724137,5411.139431131297
59,40.870210349559784,79,582655.2475949365,2406.808881300914
60,15.918604075908661,23,564767.7947826087,1523.3486500615659
61,25.888370990753174,37,573791.2572972972,1540.3751505258922
62,27.498932123184204,43,567048.1097674419,543.569505913313
63,26.641718208789825,38,571314.2810526313,1946.2907000089947
64,23.182897865772247,33,565198.5915151516,80.64368508078836
65,23.809624671936035,39,573040.8697435899,241.57940967266376
66,20.206031918525696,29,570009.0055172414,560.0561197215113
67,27.4689679145813,39,568005.6410256409,440.4390352689303
68,23.709858179092407,35,576613.2137142856,831.634073311942
69,20.967806339263916,33,570091.9854545455,89.74867734042081
70,21.582948327064514,31,573260.4425806453,1388.5327827699723
71,20.908658981323242,34,574727.0658823528,335.75325460994947
72,26.461454391479492,63,586721.7015873016,852.6634259905134
