Iteration,Reward,Accumulative Reward
215,0.4473743,98.04771
216,0.4405397,98.48824
217,0.42225814,98.9105
218,0.4292841,99.33978
219,0.41911867,99.7589
220,0.41488117,100.17378
221,0.40505797,100.57884
222,0.40854004,100.98738
223,0.3977481,101.38513
224,0.3517045,101.73684
225,0.38002756,102.11687
226,0.38010958,102.49698
227,0.3427297,102.83971
228,0.35674253,103.19645
229,0.36518228,103.56163
230,0.36602873,103.92766
231,0.36288288,104.29054
232,0.36564466,104.65619
233,0.36109787,105.01729
234,0.3529304,105.37022
235,0.36358413,105.7338
236,0.36882052,106.10262
237,0.35796204,106.46059
238,0.35671818,106.81731
239,0.37094244,107.18825
240,0.37831396,107.56656
241,0.37996462,107.946526
242,0.37830135,108.32483
243,0.37860993,108.70344
244,0.4021527,109.10559
245,0.38733608,109.49293
246,0.35895717,109.85188
247,0.3908847,110.24277
248,0.3865987,110.629364
249,0.38229066,111.01166
250,0.38385037,111.39551
251,0.38105783,111.776566
252,0.37503013,112.151596
253,0.39015722,112.541756
254,0.401384,112.94314
255,0.38420033,113.32734
256,0.40112466,113.72846
257,0.39905572,114.12752
258,0.40678063,114.5343
259,0.39704254,114.93134
260,0.39059207,115.32194
261,0.3999207,115.721855
262,0.38662374,116.10848
263,0.4051453,116.513626
264,0.39810625,116.911736
265,0.39357743,117.30531
266,0.39224547,117.697556
267,0.3864292,118.083984
268,0.39321646,118.4772
269,0.38739237,118.86459
270,0.38138714,119.24598
271,0.38802713,119.634
272,0.38803655,120.02204
273,0.3734949,120.39554
274,0.36181816,120.757355
275,0.3745512,121.131905
276,0.3739391,121.505844
277,0.33171463,121.837555
278,0.3587396,122.1963
279,0.376711,122.573006
280,0.35664606,122.92965
281,0.37974644,123.309395
282,0.37981433,123.68921
283,0.37279826,124.062004
284,0.38806823,124.45007
285,0.38592124,124.83599
286,0.38895515,125.224945
287,0.39399317,125.618935
288,0.3569045,125.97584
289,0.3929165,126.36875
290,0.3919467,126.7607
291,0.39553794,127.156235
292,0.38204834,127.538284
293,0.38519678,127.923485
294,0.39315835,128.31665
295,0.4029301,128.71957
296,0.41282707,129.1324
297,0.0,129.1324
298,0.41636634,129.54877
299,0.42108652,129.96985
300,0.0,129.96985
301,0.42233992,130.39218
302,0.42609137,130.81827
303,0.41093177,131.2292
304,0.40939292,131.6386
305,0.4041935,132.04279
306,0.41687223,132.45966
307,0.41218212,132.87184
308,0.38268757,133.25453
309,0.41692904,133.67146
310,0.41747823,134.08894
311,0.41486603,134.50381
312,0.4169778,134.92079
313,0.4141441,135.33493
314,0.42101532,135.75595
315,0.42325032,136.1792
316,0.4193492,136.59854
317,0.41025454,137.00879
318,0.42220128,137.43098
319,0.4244447,137.85542
320,0.4249632,138.28038
321,0.4364294,138.71681
322,0.43043688,139.14725
323,0.44136325,139.58861
324,0.44974422,140.03835
325,0.44470754,140.48305
326,0.43419132,140.91724
327,0.44708762,141.36432
328,0.45264402,141.81696
329,0.4516923,142.26865
330,0.45378438,142.72243
331,0.46278107,143.18521
332,0.4592179,143.64442
333,0.4601688,144.1046
334,0.4617322,144.56633
335,0.46806487,145.0344
336,0.44759217,145.48198
337,0.46870887,145.95068
338,0.4775715,146.42825
339,0.4634626,146.89171
340,0.47435892,147.36607
341,0.46941635,147.8355
342,0.4721385,148.30763
343,0.4621591,148.76979
344,0.47533628,149.24513
345,0.47759968,149.72273
346,0.47405076,150.19678
347,0.46462098,150.66139
348,0.47374088,151.13513
349,0.47940376,151.61453
350,0.47096345,152.0855
351,0.46221104,152.5477
352,0.46298873,153.01068
353,0.45779988,153.46848
354,0.45397174,153.92244
355,0.4505143,154.37296
356,0.43987766,154.81284
357,0.4462877,155.25912
358,0.42586684,155.685
359,0.44663227,156.13162
360,0.42961556,156.56123
361,0.43424654,156.99548
362,0.42582116,157.42131
363,0.4300271,157.85133
364,0.39013714,158.24147
365,0.41187626,158.65335
366,0.4103958,159.06375
367,0.41144636,159.4752
368,0.3986022,159.87381
369,0.4007359,160.27455
370,0.39961573,160.67416
371,0.4001991,161.07436
372,0.40370432,161.47806
373,0.3736859,161.85175
374,0.39233392,162.24408
375,0.39076722,162.63484
376,0.38705873,163.0219
377,0.37591147,163.39781
378,0.36715966,163.76497
379,0.36206207,164.12703
380,0.37311754,164.50015
381,0.0,164.50015
382,0.3641836,164.86433
383,0.0,164.86433
384,0.0,164.86433
385,0.0,164.86433
386,0.37458718,165.23892
387,0.36538273,165.60431
388,0.36665326,165.97096
389,0.37324148,166.34421
390,0.0,166.34421
391,0.0,166.34421
392,0.0,166.34421
393,0.38518637,166.7294
394,0.0,166.7294
395,0.0,166.7294
396,0.3692207,167.09862
397,0.38338387,167.482
398,0.38012633,167.86212
399,0.37832525,168.24045
400,0.38513204,168.62558
401,0.37858063,169.00417
402,0.3909166,169.39508
403,0.3932855,169.78836
404,0.3941988,170.18256
405,0.43287748,170.61543
406,0.40975732,171.02519
407,0.43330985,171.4585
408,0.40359,171.86209
409,0.40545446,172.26755
410,0.36904743,172.6366
411,0.39894915,173.03555
412,0.38507387,173.42062
413,0.3582565,173.77888
414,0.39257616,174.17146
415,0.40141714,174.57288
416,0.41371784,174.98659
417,0.41864422,175.40523
418,0.4410061,175.84624
