Episode,Accumulative Reward,Length
0,41.67316177487373,137
1,4.057272851467133,11
2,0.5453514754772186,3
3,40.71966931223869,94
4,136.32854303717613,369
5,53.48474505543709,132
6,23.625491201877594,63
7,36.73145967721939,106
8,14.555389136075974,39
9,8.88507404923439,28
10,0.0,1
11,58.95750233530998,135
12,47.94385036826134,133
13,4.8809197545051575,12
14,59.64759936928749,138
15,172.6416356265545,517
16,54.91667965054512,125
17,95.56084564328194,255
18,149.12881499528885,430
19,110.18360263109207,273
20,108.62350615859032,285
21,27.81820285320282,69
22,61.641010612249374,200
23,24.478241235017776,66
24,14.915501981973648,38
25,39.72673174738884,123
26,53.15534666180611,131
27,62.709390223026276,159
28,25.006347596645355,65
29,68.41971954703331,146
30,4.203154742717743,11
31,48.47381216287613,124
32,0.8721906840801239,3
33,152.0810428261757,434
34,47.61265340447426,112
35,18.336101800203323,51
36,93.96878650784492,249
37,47.44746181368828,138
38,160.52479043602943,433
39,110.34491404891014,255
40,45.81635078787804,121
41,171.97803658246994,427
42,8.350543946027756,23
43,180.25223198533058,441
44,4.042202264070511,10
45,189.3001117259264,517
46,154.48428258299828,438
47,266.25556479394436,706
48,260.3976005166769,722
49,29.5490100979805,77
50,194.05254194140434,515
51,58.113146513700485,127
52,8.789268761873245,22
53,13.709889233112335,39
54,2.533304661512375,8
55,77.58946898579597,167
56,84.41713047027588,201
57,18.418588042259216,43
58,211.64591446518898,512
59,207.4849400818348,511
60,1.7891498506069183,6
61,162.13980984687805,376
62,61.103642255067825,136
63,0.5184052586555481,3
64,18.838002115488052,42
65,219.11550337076187,518
66,396.6448044925928,1091
67,57.22890695929527,153
68,119.78993731737137,287
69,178.28212702274323,434
70,15.571517705917358,34
71,1.293064445257187,4
72,136.00868171453476,327
73,166.22045356035233,361
74,14.506426304578781,32
75,183.03323608636856,517
76,13.100987285375595,35
77,54.09761533141136,121
78,109.38116477429867,289
79,216.1470888853073,520
80,51.482421189546585,135
81,66.21654924750328,138
82,53.22485464811325,117
83,15.635543316602707,40
84,81.87437146902084,166
85,25.900864124298096,58
86,84.41134768724442,159
87,13.848829239606857,30
88,80.41150173544884,168
89,38.59304443001747,92
90,20.643549382686615,44
91,204.33668166399002,504
92,62.81495651602745,118
93,95.95891737937927,235
94,317.8886689245701,763
95,267.65965884923935,660
96,61.091562777757645,139
97,165.1224177479744,426
98,189.03464391827583,440
99,58.05896842479706,122
100,345.11973898112774,953
101,449.73412804305553,1304
102,60.09440588951111,133
103,69.96535134315491,147
104,178.2542980015278,373
105,156.26626443862915,354
106,416.98415614664555,965
107,174.45596274733543,431
108,212.70521515607834,514
109,268.92707385122776,669
110,182.9349695444107,424
111,391.34205171465874,959
112,319.6604922860861,803
113,207.8150870501995,508
114,512.7479678988457,1234
115,486.8896814882755,1268
116,65.90804162621498,130
117,381.99236476421356,1085
118,332.106817945838,770
119,41.166388154029846,85
120,503.96985575556755,1380
121,216.52298375964165,520
122,439.8814472258091,1070
123,220.758146494627,514
124,162.32984891533852,375
125,736.4116496145725,2016
126,810.696947067976,2016
127,772.716235384345,2016
128,191.52275803685188,512
129,761.1940133720636,2016
130,433.14196421206,1097
131,242.60479740798473,516
132,478.44647961854935,976
133,316.6193293184042,1089
134,456.7430059313774,1097
135,317.56743958592415,806
136,641.7478709667921,2016
137,216.35459890961647,515
138,380.35496759414673,1098
139,230.93104749917984,803
140,305.299073189497,1055
141,262.7546926289797,1292
142,193.89210319519043,813
143,530.4431359469891,2016
144,299.51120832562447,1093
145,116.76469874382019,389
146,38.51179173588753,475
147,147.62058773636818,509
148,166.11618581414223,512
149,179.6041563153267,814
150,189.89558264613152,1378
151,310.4780665785074,2016
152,367.08781892061234,2016
153,151.64601269364357,961
154,227.57071563601494,2016
155,30.554854601621628,105
156,183.09475988149643,1100
157,75.33315098285675,426
158,157.64297483861446,1087
159,60.89095035195351,506
160,28.183783262968063,230
161,136.15180373191833,379
162,118.81158201396465,2016
163,190.76308301091194,1573
164,114.1491806358099,517
165,104.85238948464394,510
166,247.1646500378847,2016
167,95.91866827011108,809
168,39.86272385716438,154
169,323.0699285119772,2016
170,271.49795469641685,1635
171,93.69785210490227,516
172,39.01725172996521,516
173,285.7402721494436,2016
174,68.86612901091576,404
175,81.24189056456089,518
176,67.02282965183258,410
177,84.5008959621191,1030
178,43.038880199193954,516
179,170.61748158931732,703
180,53.620160698890686,504
181,154.95417918264866,973
182,122.7877601981163,519
183,42.99015563726425,519
184,252.60468816757202,974
185,154.36937518417835,806
186,188.45589254796505,1391
187,140.71734789013863,726
188,162.63995943963528,807
189,119.96472331881523,691
190,56.17838475108147,517
191,283.3986895084381,2016
192,183.90777838230133,1108
193,127.93974366784096,724
194,204.84142051637173,807
195,195.23874877393246,958
196,169.01119738817215,949
197,337.9858215749264,1538
198,226.094608142972,1891
199,76.28206753730774,803
200,127.85445863008499,397
201,154.1454759389162,515
202,278.74773590266705,1017
203,254.24470692873,900
204,224.23579719662666,976
205,185.53901886940002,1062
206,128.01888582110405,805
207,196.89899682998657,1239
208,38.795433431863785,503
209,82.60081797838211,480
210,437.8462726175785,2016
211,116.59423407912254,390
212,173.36777862906456,516
213,194.971930667758,1244
214,61.93547201156616,436
215,105.20682147145271,947
216,218.40488502383232,958
217,200.80906035006046,808
218,222.24752587080002,1088
219,309.4688902646303,1091
220,116.0754015147686,372
221,113.59963175654411,510
222,82.96915492415428,701
223,244.28824473917484,1094
224,101.3872738480568,367
225,0.4795842617750168,3
226,534.7809350788593,2016
227,373.35713832080364,1530
228,86.87547624111176,515
229,79.83242067694664,513
230,402.8916539847851,1667
231,207.67063835263252,808
232,32.438840210437775,202
233,396.2273048609495,2016
234,189.80724838376045,521
235,100.0946455001831,800
236,374.4424868822098,1670
237,262.5599033385515,1095
238,89.95396891236305,268
239,30.625760942697525,206
240,112.37331527471542,234
241,262.699306383729,1673
242,151.47281612455845,685
243,184.49965146183968,1090
244,122.75395302474499,734
245,107.86758530139923,450
246,118.71321392059326,412
247,97.82649949193001,445
248,52.567556619644165,172
249,113.18959978222847,514
250,96.43576782941818,435
251,16.48959070444107,133
252,234.77243068814278,804
253,218.8983760178089,1091
254,123.9854131937027,552
255,113.07650139927864,540
256,48.00254845619202,147
257,348.15744449198246,1314
258,118.64423587918282,514
259,104.64108005166054,385
260,201.75031645596027,806
261,212.89709880948067,694
262,141.21707594394684,1090
263,249.9302476644516,2016
264,102.01101142168045,508
265,111.15126836299896,1101
266,419.80120289325714,2016
267,115.96786761283875,518
268,400.8535604774952,1667
269,128.10136026144028,395
270,400.2318012416363,2016
271,138.06822548806667,1082
272,245.11206072568893,966
273,354.0435559153557,1383
274,234.86197340488434,781
275,165.55929788947105,520
276,101.86545842885971,404
277,0.5129580199718475,3
278,170.7949062883854,519
279,174.22625175118446,422
280,147.0770772099495,418
281,110.87296131253242,509
282,157.95276182889938,740
283,229.57242001593113,810
284,366.6199930906296,2016
285,48.96272921562195,234
286,130.03437212109566,397
287,51.38849392533302,514
288,195.72138053178787,965
289,16.702188819646835,234
290,185.16331113874912,958
291,185.98792898654938,1089
292,78.29646319150925,222
293,318.55419701337814,1090
294,52.447239220142365,517
295,157.59750214219093,748
296,124.56259794533253,521
297,250.64971753954887,1168
298,121.37915137410164,512
299,129.15421709418297,413
300,178.26083487272263,805
301,62.50753542780876,352
302,199.57043743133545,952
303,44.76096695661545,123
304,109.13736662268639,448
305,253.48012512922287,737
306,214.5652217566967,800
307,146.71738629043102,487
308,427.4712058752775,1905
309,125.93475607037544,519
310,0.4658106863498688,3
311,63.51107931137085,516
312,114.53341117501259,217
313,199.0623250901699,1084
314,331.5935417711735,1373
315,252.14819791913033,989
316,276.7092340886593,953
317,179.7903877198696,801
318,360.5069507062435,2016
319,60.94738379120827,484
320,202.03626537322998,807
321,60.60558098554611,138
322,96.39926040172577,512
323,197.03819438815117,589
324,398.2902717888355,2016
325,147.05410146713257,517
326,94.58119353652,519
327,166.2060022354126,793
328,103.23775887489319,339
329,199.7557575404644,593
330,439.9842465221882,1965
331,51.76885449886322,134
332,155.34889313578606,518
333,179.20889015495777,521
334,311.70327988266945,1088
335,389.4180858582258,1379
336,232.74713495373726,795
337,141.49607300758362,717
338,37.32646909356117,112
339,234.79962725937366,807
