Episode,Accumulative Reward,Length,Avg Cost,Avg Renewables Utilization
0,46.37717518210411,126,324346.3574603175,51.65308327628736
1,0.4218784272670746,2,304296.00000000006,33.333333333333336
2,20.16989654302597,49,304616.64285714284,27.437480279751764
3,37.339570105075836,95,316497.79347368417,35.390825195023424
4,55.11130973696709,139,304413.74791366915,55.85986685347613
5,60.52573907375336,156,293239.69269230764,57.19797712548818
6,134.32543513178825,359,306282.9691364902,48.61608216379308
7,5.286488890647888,15,324443.648,28.045865639038094
8,1.0805347263813019,4,332132.525,21.721383226415732
9,57.29754889011383,125,267920.85631999996,50.63996189755356
10,16.684383392333984,40,300781.6895,28.167064400270988
11,65.9961833357811,135,266136.9431111113,52.02486626952433
12,0.0,1,292872.60000000003,33.333333333333336
13,15.608588874340057,38,303666.3510526316,24.072798320751154
14,204.6861525774002,518,311717.84656370664,57.92754924132576
15,152.33349338173866,406,316882.11083743814,51.91148282727926
16,149.05455884337425,401,318732.3470324189,52.937085499538256
17,181.48475868999958,506,327330.71999999986,57.23833397123775
18,115.78371313214302,318,309785.033081761,53.51694360672018
19,0.0,1,361653.6,33.333333333333336
20,58.55190593004227,147,300865.69102040806,55.25949174597452
21,3.09700807929039,8,298054.215,26.27789699244707
22,143.6327567398548,376,305631.6582446809,51.930722399378865
23,71.46454802155495,159,287101.51471698115,56.7834325055297
24,82.67895591259003,185,280347.1856216216,62.14277811921533
25,15.272241592407227,40,317918.67149999994,25.998585780689275
26,3.2462134063243866,9,308011.7844444444,25.827035431292796
27,0.0,1,315127.24,33.333333333333336
28,3.0172407031059265,9,327965.5844444444,26.461403677532587
29,116.58290192484856,314,324095.6820382167,52.673903215101234
30,147.293974339962,428,322079.98322429886,56.1454047696564
31,0.0,1,369053.56,33.333333333333336
32,195.1983906328678,511,301970.9178864968,58.05892857799313
33,41.62677550315857,99,302185.61636363633,39.99886659262626
34,50.1408274769783,125,312756.76288,51.73037243704592
35,58.58529895544052,153,316711.5661437909,58.87319063940222
36,240.65837320685387,716,326087.68321229046,55.358593187452556
37,73.7570239007473,161,282985.95229813666,59.97740480790731
38,46.557462483644485,119,305675.30033613445,50.45188397749471
39,141.7783716470003,391,326480.39043478225,52.0127738671531
40,55.1881642639637,129,284492.3389147286,51.87277556898187
41,169.08625727891922,378,286784.66973544983,50.30138582538446
42,57.165859431028366,147,299443.4831292518,54.57792767430486
43,19.150401204824448,43,284941.9372093024,27.976223996175392
44,48.22791329026222,122,315416.7152459016,50.190944353721335
45,96.84939689934254,247,318017.62817813776,59.32825743313508
46,50.31621113419533,135,326244.3398518518,55.336920563818936
47,314.95192047953606,802,303513.77521197026,58.51558791779635
48,1.3914069831371307,5,342903.92799999996,29.572416171957116
49,71.94322848320007,147,263722.511292517,55.14367466502726
50,201.53217539191246,516,303959.36573643424,58.76868855299343
51,92.19429403543472,224,284930.36062500003,62.071635417460975
52,40.92806574702263,85,260644.9458823531,32.059205181988304
53,0.7056174278259277,3,338266.36000000004,23.481732921688888
54,64.06995043158531,145,285674.5754482759,53.91734002145926
55,183.56038036942482,413,283570.0020338981,52.87942079790954
56,74.17279496788979,165,286195.56157575746,63.953826216284604
57,191.17942182719707,511,315111.11643835617,59.08305894100964
58,136.08001628518105,384,330801.9978645838,52.00195219881693
59,5.616863250732422,14,299907.7371428571,33.29186747703516
60,249.93225148320198,580,289652.42037931026,55.07883592313083
61,87.06527668237686,213,309352.06723004696,65.16086908261619
62,0.5723285973072052,3,346660.7,33.333333333333336
63,103.13778054714203,209,261849.0578947368,65.44381314706726
64,210.5816157758236,518,301960.1245559847,57.43287380226191
65,251.1547879576683,753,332258.0679150068,57.63116835433084
66,54.20343491435051,130,292425.16723076924,51.971858785744956
67,55.99644312262535,123,281822.76032520324,47.93862952581306
68,205.83853912353516,513,289483.14436647145,58.47360067955769
69,53.93269982933998,106,254550.95094339634,39.67222141778071
70,17.20922413468361,36,267191.6844444444,32.57708155837119
71,10.515896081924438,23,274429.0330434782,31.813009720344944
72,30.49055525660515,71,293076.56788732397,29.06471289007396
73,17.312715977430344,43,302014.8958139535,30.426847047204525
74,28.280194371938705,58,265806.2568965519,31.37375858673309
75,188.2206002175808,423,285812.73021276575,56.27777734644974
76,27.07104143500328,61,288481.60754098365,30.787199488932945
77,208.52193814516068,513,282981.70990253397,58.54323734842416
78,62.6225426197052,124,257888.9824193547,46.91806720763321
79,62.836780697107315,143,281343.688811189,54.94997924797464
80,211.72145715355873,517,301429.66324951634,57.92480163336896
81,190.31761264801025,432,279832.9778703703,54.54084581164379
82,74.50802332162857,164,281364.13256097573,59.541602952412156
83,2.2875525057315826,6,294419.64333333337,33.333333333333336
84,288.8077676296234,657,283669.2765905634,51.26262332780488
85,29.624581515789032,65,277996.38307692314,32.01623619083126
86,31.444299191236496,66,262910.3215151515,31.22042087725302
87,5.2602677047252655,13,296415.7446153846,26.73168213376569
88,22.618198037147522,48,272788.3095833333,31.12243919914698
89,25.966388553380966,60,293241.15533333336,29.445752801665904
90,79.23201996088028,164,269925.7292682926,62.365980137402204
91,189.8324013054371,500,298576.5659599998,59.569918781912534
92,181.13155636191368,441,285137.6226303853,55.217519452158776
93,104.61127841472626,234,286635.43410256394,62.237282899129916
94,209.802219748497,434,264148.1410138248,55.82357529806264
95,170.13128849864006,418,309342.6511483252,55.10120704221296
96,231.71898272633553,521,279396.1828023033,58.02790430009876
97,76.78453785181046,174,261279.25896551716,63.509894403965646
98,260.11549162864685,665,293706.8618345863,51.9858570790765
99,67.34746825695038,140,270752.32542857144,54.132569356428526
100,230.29257664084435,527,289792.0514611004,57.67401081847036
101,192.90467357635498,427,272303.2140515223,55.42633845431567
102,262.91654950380325,712,304865.17387640494,55.28710126921286
103,31.58654296398163,68,277925.6491176471,31.788117063329498
104,225.03677651286125,483,279398.4954865427,60.173850029713435
105,73.20723882317543,128,222745.0442187499,53.707308271909426
106,54.41670262813568,104,248006.11711538478,41.97896876084691
107,328.0986540466547,800,299032.53349999996,57.35676455955061
108,15.536485522985458,41,320870.25219512195,30.021057490651906
109,305.6162797510624,669,272595.7642451421,52.99898534492749
110,288.62417367100716,664,274602.7590963854,52.895327523691144
111,195.1914895772934,412,275338.15480582527,54.00999268680879
112,340.33088794350624,803,286779.64034869196,57.64846861692369
113,208.63001450896263,436,269299.61660550436,55.91323683121352
114,217.7166968882084,506,289379.5123320158,60.30242258742378
115,756.1317388415337,2016,280731.05665674666,57.74614397391431
116,436.5562294125557,1097,292221.5869644484,57.813937279130336
117,224.4091541171074,507,271602.48216962523,59.97848639548873
118,220.341987490654,443,226995.73742663654,58.582869066151424
119,323.34739604592323,807,298262.22344485816,59.16867318291013
120,210.6617622077465,419,236963.29183770876,56.585187034872845
121,433.20516619086266,1000,231295.6404399997,58.1660206141002
122,174.75731471180916,519,279730.35306358384,60.30036671556418
123,213.41904869675636,439,249967.273075171,57.770890642828704
124,764.8377366065979,2016,301025.54552579316,57.21328883829196
125,227.60147467255592,513,288252.12534113054,59.94588720871872
126,170.65582075715065,374,273100.75518716575,51.13823595007805
127,62.46622210741043,127,243094.1840944882,54.71735115879584
128,344.91907051205635,811,272741.90865598054,59.962688989159844
129,738.6243612170219,1868,299474.11233404715,57.37535565502885
130,237.03178572654724,507,270614.552662722,61.57898130628973
131,853.382578253746,2016,294151.91824404773,57.809309208020345
132,317.6124050319195,810,270030.79372839513,59.6063922625085
133,164.93187630176544,514,262364.874163424,61.54638324468875
134,357.16881930828094,975,240135.10584615378,57.10501664715966
135,707.4771575331688,2016,255316.19018849227,58.32418681052098
136,282.7163824737072,805,280066.83145341603,60.79048988038296
137,173.67580789327621,522,274799.6751341,60.99194935083556
138,217.6192343533039,512,263697.6480078124,61.67621890679973
139,180.01605427265167,383,239928.95378590093,53.33849388929099
140,216.92626890540123,518,275747.0924324326,60.95636563820458
141,398.2656335234642,1095,277189.00657534256,59.80188235360615
142,664.6804574728012,2016,289696.75141865126,58.363873174292934
143,172.07836988568306,424,243970.0057075472,57.24597984499932
144,691.037511959672,2016,298926.0230555554,57.497248280815086
145,198.30582424998283,518,288634.3816602318,60.637048398393404
146,151.2652114033699,389,272176.0546529565,53.624436706318725
147,43.24994048476219,409,217759.16288508542,49.73487268686763
148,154.65840443968773,504,285469.9755952381,58.738592248414825
149,180.46644812822342,518,278425.38749034755,59.483301734463886
150,252.460613489151,1061,292547.88081055635,59.44619199914217
151,273.61804670095444,1377,291658.28133623785,57.84056430992983
152,450.7335498034954,2016,292145.94052579324,57.27117451574584
153,417.91101038455963,2016,291713.8890277774,56.44249260726606
154,173.88920015096664,908,272716.85746696073,55.62551939160315
155,212.2169748544693,861,270201.27038327523,57.53166721067716
156,384.43725138902664,2016,284564.8698214286,58.15107111069246
157,120.20200988650322,807,285531.8347211896,54.70134996027473
158,161.13221377134323,1094,306091.10552102403,59.313713006628085
159,370.6513569653034,2016,289962.4181349205,56.98367579036055
160,238.6280339062214,1085,285733.6364976959,56.981937599211676
161,351.9079920947552,2016,294004.5686805559,53.54138929718428
162,55.752978667616844,512,300197.944140625,57.56794285425576
163,173.58337393403053,512,277448.22226562497,59.7155744337689
164,0.619223028421402,3,340285.54,12.042875231436463
165,291.0497091412544,1654,280130.5923458275,56.7012486387282
166,95.16660192608833,519,301289.06497109844,60.26515373088051
167,57.63843923807144,281,231028.72320284706,59.11479276828229
168,125.89770591259003,380,291380.6576315794,52.0286388858709
169,73.47443902492523,363,265546.00446280994,50.91729404427315
170,227.7365379035473,1089,308859.0964554634,53.7807160016123
171,359.8812737464905,1394,297756.44784791983,53.91238263228638
172,302.21065029501915,953,264354.5169359918,54.63989415002728
173,141.0682644546032,690,269438.13788405765,54.730101056634695
174,118.7092123478651,516,289515.990232558,61.11957670470093
175,28.18165150284767,119,219783.57865546222,41.097169115103426
176,0.5374096632003784,3,366565.3933333333,12.538343234384653
177,65.00136530399323,518,277796.3106949807,60.87403471288309
178,129.58494591712952,506,252287.97130434788,61.774121195026964
179,216.90563669800758,991,288764.5702320887,55.32190525948178
180,207.74301967024803,660,265297.02930303005,51.24566149487655
181,69.76867631077766,486,295791.72246913577,60.986839482519954
182,57.86994159221649,118,265477.8925423728,51.475172981237
183,208.21880263090134,519,267415.1509826588,61.254667465688705
184,136.5117399096489,518,286951.58667953685,58.795812580630056
185,444.7497281730175,2016,294734.28514880943,55.082918689648785
186,200.12535114586353,807,290675.20570012415,59.592595128680614
187,16.267574071884155,55,246309.9225454546,32.30347649627167
188,20.443988651037216,43,258562.27906976748,33.33333333333333
189,211.5949229300022,806,285144.5904962778,59.60482610167173
190,50.16814038157463,116,230792.9506896552,45.103673487969886
191,38.91224744915962,513,282700.36409356707,62.10694906568508
192,29.21051251888275,68,232853.25058823524,32.97128741341461
193,96.64777266979218,571,292104.4780035025,59.09525756022886
194,417.01161274313927,1668,298277.02700239775,56.8522723247823
195,218.64606714248657,805,286950.7702608694,60.52649719209892
196,129.44529324769974,447,266587.2787472035,58.74749804026356
197,339.09027048945427,2016,298009.9555357144,56.69709507342388
198,362.90608564019203,2016,285957.13415674586,57.945044375149365
199,454.2465785741806,1691,299382.5795505615,55.887870031675384
200,43.00477635860443,180,209082.55738888885,67.5584195805477
201,138.5780991613865,514,289177.42591439665,60.35974621331809
202,146.99541306495667,947,289355.0013516368,52.290860284718455
203,129.26444327831268,423,275050.5905437353,57.40316326270978
204,248.2425560951233,768,292367.8101562501,58.821951773927886
205,184.05650901794434,1377,285777.55379811215,58.621233496843296
206,253.33371061086655,1549,282723.43114267295,56.653324976430056
207,51.733831971883774,374,280351.2546524064,45.186228510714706
208,62.41254657506943,696,288414.3172126432,50.46829511749237
209,12.483100146055222,242,244826.4235537191,53.62764882371687
210,141.68849563598633,759,269762.4251646907,58.56110306874981
