Episode,Accumulative Reward,Length,Avg Cost,Avg Renewables Wasted
1,2.870152771472931,5,568311.8640000001,4837.808056640625
2,33.7605664730072,76,574160.6994736844,3773.7096062835894
3,2.8543508648872375,5,574116.4239999999,5141.584973144531
4,3.568639576435089,6,574577.9933333333,5256.888336181641
5,0.0,1,556984.28,0.0
6,5.0649038553237915,8,563628.22,1901.229778289795
7,30.91299569606781,44,570942.6627272726,3839.205596923828
8,15.066495895385742,22,571385.8563636364,5324.709757024591
9,0.0,1,556376.56,0.0
10,23.7383354306221,34,569598.337647059,4085.3213397755344
11,23.217955946922302,34,592376.1270588234,10051.658949010513
12,3.511441648006439,6,588896.98,8833.363632202148
13,13.137497901916504,20,607851.2339999999,15023.416360473633
14,0.0,1,556547.68,0.0
15,56.33960658311844,79,567376.5903797469,1687.2456785908228
16,53.62997514009476,76,578685.577368421,4026.210041463375
17,7.892041027545929,12,572710.0066666667,3579.3155479431152
18,11.423859357833862,17,576758.3670588236,5934.487965303309
19,4.843149960041046,8,603363.58,13509.362823486328
20,5.011691868305206,8,572742.0650000001,4861.060009002686
21,30.126812517642975,43,572991.0725581395,4651.799197529637
22,0.0,1,554229.24,0.0
23,7.8735164403915405,12,573856.6033333334,5141.132709503174
24,21.43029761314392,31,578268.3703225804,4885.8166174119515
25,50.379473090171814,71,569252.941971831,4032.499125520948
26,7.165687918663025,11,572320.6945454545,4909.4715354225855
27,1.407075047492981,3,580826.1466666666,6699.163055419922
28,0.7289999127388,2,555920.3,153.45648193359375
29,0.0,1,554899.08,0.0
30,19.377483129501343,28,572566.3714285715,4128.686264583042
31,8.62299519777298,13,569506.3261538462,4484.548405573918
32,4.958717882633209,8,582099.485,7694.900556564331
33,12.847486436367035,19,576778.1789473683,6319.809816862407
34,17.303467333316803,25,566343.1120000001,3940.881388549805
35,0.0,1,555587.56,0.0
36,4.167574465274811,7,598762.4,12359.904902866909
37,0.0,1,556268.72,0.0
38,29.383692741394043,42,573165.3638095238,5375.569749559675
39,0.0,1,556499.24,0.0
40,46.252271354198456,65,564324.611076923,3228.7391404371997
41,28.10165411233902,40,564210.1969999999,4366.252001953125
42,3.8630042672157288,6,463557.4466666666,3730.720390319824
43,0.7620227336883545,2,483674.72,804.5763244628906
44,6.113282799720764,9,481884.7866666667,1220.818832397461
45,19.535035133361816,26,445166.7984615385,3266.0387543898364
46,16.799590945243835,23,482174.63826086954,1868.6342100060504
47,19.334634602069855,26,463804.4292307692,1381.674788254958
48,8.335379838943481,12,489153.0433333332,5037.419219970703
49,23.914871394634247,32,462931.8175000001,4560.355535030365
50,3.737955152988434,6,503306.06000000006,5964.426200866699
51,16.86806070804596,23,473949.68869565224,3465.8282556948457
52,14.419163346290588,20,491172.894,2109.319663238525
53,8.230055212974548,12,503958.66,6825.869293212891
54,16.039124131202698,22,475432.2836363636,6466.720550537109
55,4.52593457698822,7,495564.62857142865,3556.8199637276784
56,4.541659712791443,7,491542.8228571429,3352.6735349382675
57,0.0,1,483425.44,0.0
58,12.32691204547882,17,466285.5929411765,3644.994628008674
59,32.28866392374039,42,435027.8314285715,1511.7332807268415
60,6.939663231372833,10,468246.06000000006,1721.6053047180176
61,26.337761223316193,35,461097.9954285715,1359.5052514212473
62,15.155959129333496,21,487290.61904761905,6383.130235944475
63,57.18565285205841,73,419566.89917808224,2461.5150305996203
64,6.810425579547882,10,492501.732,3235.4027984619142
65,4.557793080806732,7,482838.92000000004,5947.25511605399
66,19.154684722423553,26,475738.1169230769,2851.4138726454516
67,8.327326953411102,12,492833.3166666667,3244.0492057800293
68,18.316028594970703,25,483544.24,1574.4356762695313
69,13.78071904182434,19,478073.2568421053,2053.6075816907382
70,33.726089656353,44,440180.1672727274,1955.6299365650523
71,2.2956641912460327,4,473893.68,4876.59903717041
72,62.048938155174255,79,416705.49670886074,2638.6297471372386
73,7.551175832748413,11,493038.80363636365,5481.411912397904
74,24.301450610160828,33,489402.47393939394,2795.4251133311877
75,16.706467151641846,23,489361.97217391303,2732.208098701809
76,16.255708754062653,22,461596.03818181815,2000.2898067127574
77,9.127146482467651,13,485589.0646153846,3469.246321458083
78,36.570367872714996,47,419462.59829787235,1801.4680787756088
79,14.853046417236328,20,445491.728,2837.2305198669433
80,24.624178528785706,33,469341.17939393944,2803.202411998402
81,17.842491507530212,24,457288.85833333316,2716.2006511688232
82,43.446581304073334,56,427648.2814285715,3093.454529081072
83,9.110776603221893,13,486658.02461538464,4473.904195932241
84,6.7996185421943665,10,494416.792,3439.9660034179688
85,23.15496951341629,31,467326.624516129,948.4697880898752
86,10.778656303882599,15,468306.74666666676,3004.255261230469
87,4.621832013130188,7,468891.45142857137,2835.6859196254186
88,15.094549000263214,21,530972.5638095236,4586.51838030134
89,7.712189942598343,17,1050775.8635294118,4987.606306188247
90,0.0,1,1179467.52,0.0
91,2.6567130088806152,7,1141324.1142857142,6153.960152762277
